state,state_of_emergency,stay_at_home,fips
Washington,2020-02-29,2020-03-23,53
Illinois,2020-03-09,2020-03-31,17
California,2020-03-04,2020-03-19,6
Arizona,2020-03-11,2020-03-31,4
Massachusetts,2020-03-10,2020-03-24,25
Wisconsin,2020-03-12,2020-03-24,55
Texas,2020-03-13,2020-03-31,48
Nebraska,2020-03-13,,31
Utah,2020-03-13,,49
Oregon,2020-03-08,2020-03-23,41
Florida,2020-03-11,2020-04-02,12
New York,2020-03-07,2020-03-20,36
Rhode Island,2020-03-10,2020-03-28,44
Georgia,2020-03-16,2020-04-02,13
New Hampshire,2020-03-13,2020-03-26,33
North Carolina,2020-03-10,2020-03-30,37
New Jersey,2020-03-09,2020-03-24,34
Colorado,2020-03-11,2020-03-26,8
Maryland,2020-03-05,2020-03-30,24
Nevada,2020-03-13,2020-03-31,32
Tennessee,2020-03-12,2020-04-02,47
Hawaii,2020-03-16,2020-03-25,15
Indiana,2020-03-06,2020-03-17,18
Kentucky,2020-03-06,2020-03-25,21
Minnesota,2020-03-13,2020-03-25,27
Oklahoma,2020-03-15,2020-03-24,40
Pennsylvania,2020-03-06,2020-03-23,42
South Carolina,2020-03-13,2020-03-13,45
District of Columbia,2020-03-11,2020-03-30,11
Kansas,2020-03-12,2020-03-28,20
Missouri,2020-03-13,2020-04-06,29
Vermont,2020-03-14,2020-03-24,50
Virginia,2020-03-12,2020-03-23,51
Connecticut,2020-03-13,2020-03-22,9
Iowa,2020-03-17,,19
Louisiana,2020-03-11,2020-03-23,22
Ohio,2020-03-09,2020-03-23,39
Michigan,2020-03-10,2020-03-24,26
South Dakota,2020-03-13,,46
Arkansas,2020-03-11,,5
Delaware,2020-03-12,2020-03-24,10
Mississippi,2020-03-14,2020-04-01,28
New Mexico,2020-03-11,2020-03-23,35
North Dakota,2020-03-13,,38
Wyoming,2020-03-13,,56
Alaska,2020-03-11,,2
Maine,2020-03-15,2020-03-31,23
Alabama,2020-03-13,2020-04-03,1
Idaho,2020-03-13,2020-03-24,16
Montana,2020-03-12,2020-03-26,30
Puerto Rico,2020-03-12,2020-03-23,72
Virgin Islands,2020-03-13,2020-03-23,78
Guam,2020-03-14,2020-03-18,66
West Virginia,2020-03-16,2020-03-24,54
Northern Mariana Islands,2020-03-16,2020-03-24,69
American Samoa,2020-03-22,2020-03-26,60
